No,Nama_Dosen,Prodi,Fakultas,Profile_URL_SINTA,Profile_URL_GScholar,Sinta_Score,Sinta_Score_3Yr,Affil_Score,Affil_Score_3Yr,Total_Publikasi_GS,Sitasi_GS,h_index_GS,i10_index_GS,Pub_2020,Pub_2021,Pub_2022,Pub_2023,Pub_2024,Pub_2025,Pub_2026,Kategori_Kinerja,Anomali,Keterangan_Anomali
1,"FATMA, S.PD.,M.A",Ilmu Sejarah (S1),Fakultas Lainnya,https://sinta.kemdiktisaintek.go.id/authors/profile/6782630,https://scholar.google.com/citations?user=Nk3XtnEAAAAJ,721,325,18181800,8148930,450,1743,18,48,24,48,63,66,62,61,0,Berpengaruh,Diperbaiki,Sinta Profile Rescued (Extreme Mode)
2,HARAPIN HAFID H,Peternakan (S2),Fakultas Peternakan,https://sinta.kemdiktisaintek.go.id/authors/profile/259660,https://scholar.google.com/citations?user=reZKfJ8AAAAJ,2120,414,18983500,3304440,411,1877,21,56,47,36,37,38,30,35,9,Berpengaruh,Tidak,
3,RAMADHAN TOSEPU,Kesehatan Masyarakat (S2),Fakultas Kesehatan Masyarakat,https://sinta.kemdiktisaintek.go.id/authors/profile/256932,https://scholar.google.com/citations?user=Sv93h_IAAAAJ,2475,656,19025400,6207860,349,2484,19,37,15,38,61,39,44,70,11,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
4,ISMAIL,Pendidikan Biologi (S1),,https://sinta.kemdiktisaintek.go.id/authors/profile/5977237,,7177,1555,11805600000,2384420000,333,2803,24,84,0,0,0,0,0,0,0,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. [C] Inaktif: Profil Tidak Ditemukan / 0 Publikasi. 
5,MUHAMMAD TAUFIK,Proteksi Tanaman (S1),Fakultas Pertanian,https://sinta.kemdiktisaintek.go.id/authors/profile/5972651,https://scholar.google.com/citations?user=32VmofIAAAAJ,3959,903,8389990,1722440,302,2234,20,46,21,23,24,44,27,24,8,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
6,MUHAMMAD NURDIN,Kimia (S1),Fakultas MIPA,https://sinta.kemdiktisaintek.go.id/authors/profile/257906,https://scholar.google.com/citations?user=zN8v9aMAAAAJ,6557,1091,20688700,3322530,288,3669,33,105,23,39,28,41,19,30,10,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
7,MUHAMMAD NATSIR,Kimia (S1),Fakultas MIPA,https://sinta.kemdiktisaintek.go.id/authors/profile/5987954,https://scholar.google.com/citations?user=brhzoMEAAAAJ,1056,389,1056,389,269,1776,19,41,17,19,23,36,20,17,0,Berpengaruh,Ya,[A] Nama Duplikat: Indikasi Profil Ganda. [B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
8,LAODE MUH. MUNADI,Peternakan (S1),Fakultas Peternakan,https://sinta.kemdiktisaintek.go.id/authors?q=LAODE+MUH.+MUNADI&search=1,https://scholar.google.com/citations?user=mGVGhFkAAAAJ,0,0,0,0,259,669,12,18,9,57,45,49,56,35,3,Cukup,Ya,[D] Lonjakan Tidak Wajar: 533% di Tahun 2021. 
9,YUSUF,Manajemen (S2),Fakultas Ekonomi dan Bisnis,https://sinta.kemdiktisaintek.go.id/authors/profile/257455,https://scholar.google.com/citations?user=P11D7PwAAAAJ,6200,1325,6200,1325,231,450,9,9,20,13,26,33,38,17,1,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
10,AMRULLAH PAGALA,Peternakan (S2),Fakultas Peternakan,https://sinta.kemdiktisaintek.go.id/authors/profile/259113,https://scholar.google.com/citations?user=ObKrPMQAAAAJ,1972,600,10602700,2325370,230,848,13,24,27,36,29,35,31,12,3,Berpengaruh,Ya,[B] Nama Umum: Risiko Auto-Klaim Jurnal Tinggi. 
